CRN,Course_Code,Course_Name,Instructor,Day,Time,Room_ID,Room_Type,Capacity,Enrolled,Status
42001,CS201,Programming II,Ali,Sun,08:00-09:30,1001,Classroom,50,36,normal
42002,CS202,Data Structures,Sara,Sun,10:00-11:30,1001,Classroom,50,38,normal
42003,CS203,Computer Organization,Omar,Sun,12:00-13:30,1002,Classroom,45,36,normal
42004,CS204,Operating Systems,Hassan,Sun,14:00-15:30,1002,Classroom,45,38,normal
42005,CS205,Database Systems,Mona,Mon,08:00-09:30,1003,Classroom,55,48,normal
42006,CS206,Computer Networks,Fahad,Mon,10:00-11:30,1003,Classroom,55,51,normal
42007,CS207,Software Engineering,Nora,Mon,12:00-13:30,1004,Classroom,48,35,normal
42008,CS208,Web Development,Lina,Mon,14:00-15:30,1004,Classroom,48,36,normal
42009,CS209,AI Fundamentals,Yousef,Tue,08:00-09:30,1005,Classroom,52,42,normal
42010,CS210,Information Security,Aisha,Tue,10:00-11:30,1005,Classroom,52,44,normal
42011,CS211,Cloud Computing,Khaled,Tue,12:00-13:30,1006,Classroom,46,40,normal
42012,CS212,HCI,Rana,Tue,14:00-15:30,1006,Classroom,46,42,normal
42013,CS213,Machine Learning,Nader,Wed,08:00-09:30,1007,Classroom,44,32,normal
42014,CS214,Digital Ethics,Noor,Wed,10:00-11:30,1007,Classroom,44,33,normal
42015,CS215,Mobile Development,Salem,Wed,12:00-13:30,1008,Classroom,60,48,normal
42016,CS216,Data Mining,Amal,Wed,14:00-15:30,1008,Classroom,60,50,normal
42017,CS217,Parallel Computing,Ali,Thu,08:00-09:30,1009,Classroom,58,51,normal
42018,CS218,System Analysis,Sara,Thu,10:00-11:30,1009,Classroom,58,53,normal
42019,CS219,Distributed Systems,Omar,Thu,12:00-13:30,1010,Classroom,40,29,normal
42020,CS220,UI/UX Design,Hassan,Thu,14:00-15:30,1010,Classroom,40,30,normal
42021,CS221,Programming II,Ali,Sun,08:00-09:30,2001,Classroom,50,36,normal
42022,CS222,Data Structures,Sara,Sun,10:00-11:30,2001,Classroom,50,38,normal
42023,CS223,Computer Organization,Omar,Sun,12:00-13:30,2002,Classroom,45,36,normal
42024,CS224,Operating Systems,Hassan,Sun,14:00-15:30,2002,Classroom,45,38,normal
42025,CS225,Database Systems,Mona,Mon,08:00-09:30,2003,Classroom,55,48,normal
42026,CS226,Computer Networks,Fahad,Mon,10:00-11:30,2003,Classroom,55,51,normal
42027,CS227,Software Engineering,Nora,Mon,12:00-13:30,2004,Classroom,48,35,normal
42028,CS228,Web Development,Lina,Mon,14:00-15:30,2004,Classroom,48,36,normal
42029,CS229,AI Fundamentals,Yousef,Tue,08:00-09:30,2005,Classroom,52,42,normal
42030,CS230,Information Security,Aisha,Tue,10:00-11:30,2005,Classroom,52,44,normal
42031,CS231,Cloud Computing,Khaled,Tue,12:00-13:30,2006,Classroom,46,40,normal
42032,CS232,HCI,Rana,Tue,14:00-15:30,2006,Classroom,46,42,normal
42033,CS233,Machine Learning,Nader,Wed,08:00-09:30,2007,Classroom,44,32,normal
42034,CS234,Digital Ethics,Noor,Wed,10:00-11:30,2007,Classroom,44,33,normal
42035,CS235,Mobile Development,Salem,Wed,12:00-13:30,2008,Classroom,60,48,normal
42036,CS236,Data Mining,Amal,Wed,14:00-15:30,2008,Classroom,60,50,normal
42037,CS237,Parallel Computing,Ali,Thu,08:00-09:30,2009,Classroom,58,51,normal
42038,CS238,System Analysis,Sara,Thu,10:00-11:30,2009,Classroom,58,53,normal
42039,CS239,Distributed Systems,Omar,Thu,12:00-13:30,2010,Classroom,40,29,normal
42040,CS240,UI/UX Design,Hassan,Thu,14:00-15:30,2010,Classroom,40,30,normal
42041,CS241,Programming II,Ali,Sun,08:00-09:30,3001,Classroom,50,36,normal
42042,CS242,Data Structures,Sara,Sun,10:00-11:30,3001,Classroom,50,38,normal
42043,CS243,Computer Organization,Omar,Sun,12:00-13:30,3002,Classroom,45,36,normal
42044,CS244,Operating Systems,Hassan,Sun,14:00-15:30,3002,Classroom,45,38,normal
42045,CS245,Database Systems,Mona,Mon,08:00-09:30,3003,Classroom,55,48,normal
42046,CS246,Computer Networks,Fahad,Mon,10:00-11:30,3003,Classroom,55,51,normal
42047,CS247,Software Engineering,Nora,Mon,12:00-13:30,3004,Classroom,48,35,normal
42048,CS248,Web Development,Lina,Mon,14:00-15:30,3004,Classroom,48,36,normal
42049,CS249,AI Fundamentals,Yousef,Tue,08:00-09:30,3005,Classroom,52,42,normal
42050,CS250,Information Security,Aisha,Tue,10:00-11:30,3005,Classroom,52,44,normal
42051,CS251,Cloud Computing,Khaled,Tue,12:00-13:30,3006,Classroom,46,40,normal
42052,CS252,HCI,Rana,Tue,14:00-15:30,3006,Classroom,46,42,normal
42053,CS253,Machine Learning,Nader,Wed,08:00-09:30,3007,Classroom,44,32,normal
42054,CS254,Digital Ethics,Noor,Wed,10:00-11:30,3007,Classroom,44,33,normal
42055,CS255,Mobile Development,Salem,Wed,12:00-13:30,3008,Classroom,60,48,normal
42056,CS256,Data Mining,Amal,Wed,14:00-15:30,3008,Classroom,60,50,normal
42057,CS257,Parallel Computing,Ali,Thu,08:00-09:30,3009,Classroom,58,51,normal
42058,CS258,System Analysis,Sara,Thu,10:00-11:30,3009,Classroom,58,53,normal
42059,CS259,Distributed Systems,Omar,Thu,12:00-13:30,3010,Classroom,40,29,normal
42060,CS260,UI/UX Design,Hassan,Thu,14:00-15:30,3010,Classroom,40,30,normal
